Participant ID,Game ID,Round 1,Round 2,Round 3,Disorder,Website Choice
48,0,Sleep disturbance. Flat feet. Foot deformity. Breathing stops (episodes). Frequent joint dislocation. Soft skin. Vertigo,Inflamed gums. Acid reflux. Muscle pain. Arrhythmia. Osteoarthritis. Menstrual abnormalities (frequency heaviness irregularity),Unusual scars. Limitation of joint mobility. Thin skin. Malabsorption. Extra bones in the cranium. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
48,1,Joint pain. Breathing difficulties. Lack of sweating. Thickened skin,Arthritis. Picture: Angiokeratoma (small raised dark-red spot). Picture: Subcutaneous nodule (skin lesion),Nephrotic syndrome. Renal insufficiency. Mitral regurgitation,Fabry disease,2. Malady Help
48,2,Delayed skeletal maturation. Feeding difficulties in infancy. Anemia. Fatigue. Joint pain. Recurrent fractures,Dry scales on the skin. Hearing impairment. Joint dislocation. Enlarged liver. Low platelet count. Bone death due to lack of blood supply,Abnormal heart valve morphology. Abnormality of the skeletal system. Ataxia. Englarged spleen. Hydrocephalus (too much cerebrospinal fluid in the brain),Gaucher disease,1. Collaborative Filtering
49,0,Small teeth. Sleep disturbance. Thin skin. Osteoarthritis,Joint hyperflexibility. Tendon rupture. Abnormal anus or rectum. Persistent blue hands/feet,Stretchy skin. Frequent joint dislocation. Muscle pain. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
49,1,Picture: coarse facial features. Fever. Blood in urine. Arthritis. Thickened skin,Anemia. Spider veins. Chest pain. Progressive airflow obstruction. Abdominal pain,Elevated or lowered cholesteral. Malabsorption. Nephrotic syndrome. Hypertrophic cardiomyopathy. Cataract,Fabry disease,2. Malady Help
49,2,Delayed skeletal maturation. Abdominal pain. Dry scales on the skin. Tremor. Osteoarthritis,Recurrent fractures. Anemia. Bone pain. Scarring of liver caused by chronic liver disease. Low platelet count,Hepatitis. Generalized myoclonic seizures. Osteopenia: Decreased bone density. Interstitial pulmonary abnormality,Gaucher disease,1. Collaborative Filtering
50,0,Gum enlargement. Sleep disturbance. Muscle pain. Fatigue,Vertigo. Inflamed gums. Unusual scars. Migraine,Stretchy skin. Joint pain. Thin skin. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
50,1,Hearing impairment. Extreme thirst. Congestive heart failure. Anemia,Behavioral abnormality. Lack of sweating. Muscle pain. Joint pain,Abnormal myocardium morphology. Abnormality of femur morphology. Bundle branch block. Cataract,Fabry disease,1. Collaborative Filtering
50,2,Delayed puberty. Abnormal bone structure. Limited eye movements. Depressivity. Fever. Difficulty swallowing. Bone pain,Joint dislocation. Joint pain. Recurrent fractures. Abnormal skin pigmentation. Bilateral tonic-clonic seizure. Enlarged liver,Calcium deposits in the aortic valve. Enlarged ventricular system of the brain. Ataxia. Englarged spleen. Low platelet count. Interstitial pulmonary abnormality,Gaucher disease,3. Google Custom
51,0,Sleep disturbance. Flat feet. Decreased fertility. Muscle pain,Dry eyes. Osteoarthritis. Malabsorption. Vertigo,Frequent joint dislocation. Inflamed gums. Unusual scars. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
51,1,Delayed puberty. Anorexia. Thickened skin. Picture: Conjunctival telangiectasia. Picture: Angiokeratoma (small raised dark-red spot),Corneal opacity. Mini-stroke. Anemia. Arthritis. Abnormal aortic valve morphology,Elevated or lowered cholesteral. Malabsorption. Nephrotic syndrome. Left ventricular hypertrophy,Fabry disease,1. Collaborative Filtering
51,2,Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Short stature. Fatigue. Developmental regression. Joint pain. Osteoarthritis,Susceptable to bleeding. Abdominal pain. Joint stiffness. Difficulty swallowing. Scarring of liver caused by chronic liver disease,Bone death due to lack of blood supply. Generalized myoclonic seizures. Enlarged liver. Bilateral tonic-clonic seizure. Abnormality of the skeletal system,Gaucher disease,2. Malady Help
52,0,Sleep disturbance. Drooping upper eyelid. Abnormality of the wrist. Frequent joint dislocation. Fatigue. Joint pain,Breathing stops (episodes). Persistent blue hands/feet. Constipation. Unusual scars. Joint hyperflexibility. Umbilical hernia,Inflamed gums. Arrhythmia. Thin skin. Osteolysis: Breakdown of bone. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
52,1,Muscle pain. Spider veins. Corneal opacity. Fatigue. Mini-stroke,Persistent swelling in arm/leg. Hearing impairment. Joint pain. Picture: Conjunctival telangiectasia. Congestive heart failure,Corneal dystrophy. Nephrotic syndrome. Hypertrophic cardiomyopathy. Atrioventricular block. Achalasia,Fabry disease,3. Google Custom
52,2,Feeding difficulties in infancy. Blood in urine. Hearing impairment. Fever. Fatigue,Anemia. Tremor. Englarged spleen. Bone death due to lack of blood supply. Osteopenia: Decreased bone density,Pulmonary arterial hypertension: High blood pressure in lungs. Interstitial pulmonary abnormality. Enlarged liver. Bilateral tonic-clonic seizure,Gaucher disease,1. Collaborative Filtering
53,0,Flat feet. Foot deformity. Picture: Subcutaneous nodule (skin lesion). Joint hyperflexibility. Stretchy skin,Osteoarthritis. Muscle pain. Soft skin. Frequent joint dislocation. Inguinal hernia,Fatigue. Migraine. Nausea and vomiting. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
53,1,Picture: thick lower lip. Picture: Angiokeratoma (small raised dark-red spot). Picture: Conjunctival telangiectasia. Developmental regression. Anemia,Lack of sweating. Vertigo. Arthritis. Chest pain. Congestive heart failure,High urine protein levels. Abnormal renal tubule morphology. Abnormality of the endocardium. Abnormal aortic valve morphology,Fabry disease,3. Google Custom
53,2,Feeding difficulties in infancy. Fever. Abdominal pain. Bone pain,Developmental regression. Breathing difficulties. Joint stiffness. Enlarged liver,Bilateral tonic-clonic seizure. Hydrocephalus (too much cerebrospinal fluid in the brain). Hepatitis. Abnormal heart valve morphology,Gaucher disease,1. Collaborative Filtering
54,0,Sleep disturbance. Drooping upper eyelid. Menstrual abnormalities (frequency heaviness irregularity). Vertigo. Frequent joint dislocation,Joint pain. Nausea and vomiting. Abnormal anus or rectum. Genital hernia. Depressivity,Joint hyperflexibility. Muscle pain. Persistent blue hands/feet. Arrhythmia. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
54,1,Picture: thick lower lip. Muscle pain. Persistent swelling in arm/leg. Picture: Conjunctival telangiectasia. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system,Lack of sweating. Fatigue. Picture: Subcutaneous nodule (skin lesion). Vision loss. Fever,Behavioral abnormality. Glomerulopathy (diseased blood vessels in the kidneys). Corneal dystrophy. Elevated or lowered cholesteral,Fabry disease,3. Google Custom
54,2,Short stature. Delayed puberty. Susceptable to bleeding. Developmental regression. Abnormal skin pigmentation,Fatigue. Fever. Anemia. Cranial nerve paralysis,Abnormality of the skeletal system. Generalized myoclonic seizures. Enlarged liver. Low platelet count,Gaucher disease,1. Collaborative Filtering
55,0,Abnormality of the wrist. Sleep disturbance. Foot deformity. Joint hyperflexibility. Nausea and vomiting. Frequent joint dislocation,Osteoarthritis. Joint pain. Vertigo. Arrhythmia. Soft skin. Migraine,Muscle pain. Depressivity. Stretchy skin. Thin skin. Constipation. Keratoconus,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
55,1,Mini-stroke. Blood in urine. Spider veins. Breathing difficulties. Behavioral abnormality,Corneal opacity. Extreme thirst. Picture: Conjunctival telangiectasia. Joint pain,Cataract. Renal insufficiency. Malabsorption. Kidney damage/Kidney disease,Fabry disease,3. Google Custom
55,2,Abnormal bone structure. Anemia. Changes in coordination and speed of movements. Recurrent fractures,Bone pain. Dry scales on the skin. Bilateral tonic-clonic seizure. Low platelet count,Bone death due to lack of blood supply. Pulmonary arterial hypertension: High blood pressure in lungs. Osteopenia: Decreased bone density. Enlarged liver,Gaucher disease,1. Collaborative Filtering
56,0,Gum enlargement. Sleep disturbance. Stretchy skin. Persistent blue hands/feet. Breathing stops (episodes),Soft skin. Thin skin. Acid reflux. Joint hyperflexibility. Abnormal anus or rectum,Joint pain. Nausea and vomiting. Vertigo. Extra bones in the cranium. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
56,1,Blood in urine. Thickened skin. Arthritis. Mini-stroke. Picture: Subcutaneous nodule (skin lesion),Congestive heart failure. Joint pain. Spider veins. Mitral regurgitation,Malabsorption. Renal insufficiency. High urine protein levels. Corneal dystrophy,Fabry disease,2. Malady Help
56,2,Delayed puberty. Abnormal bone structure. Decreased muscle tone. Abdominal pain. Joint dislocation. Anemia. Blood in urine,Developmental regression. Tremor. Bleeding gums. Joint pain. Fever. Osteopenia: Decreased bone density,Retinopathy. Enlarged liver. Replacement of normal lung tissues by fibroblasts and collagen. Ataxia. Bone death due to lack of blood supply. Generalized myoclonic seizures,Gaucher disease,1. Collaborative Filtering
57,0,Dental abnormalities. Sleep disturbance. Joint pain. Malabsorption. Frequent joint dislocation,Bladder hernia. Arrhythmia. Thin skin. Nausea and vomiting,Osteoarthritis. Menstrual abnormalities (frequency heaviness irregularity). Tendon rupture. Absent/small abdominal wall muscles,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
57,1,Spider veins. Picture: Angiokeratoma (small raised dark-red spot). Vision loss. Picture: Subcutaneous nodule (skin lesion). Mini-stroke,Behavioral abnormality. Lack of sweating. Fatigue. Arthritis. Corneal dystrophy,Atrioventricular block. Nephrotic syndrome. High urine protein levels. Optic atrophy,Fabry disease,2. Malady Help
57,2,Feeding difficulties in infancy. Abnormal bone structure. Difficulty swallowing. Recurrent fractures. Bone pain,Difficulty with horizontal voluntary eye movements. Developmental regression. Fatigue. Bilateral tonic-clonic seizure. High urine protein levels,Generalized myoclonic seizures. Calcium deposits in the mitral valve. Englarged spleen. Abnormality of the skeletal system,Gaucher disease,1. Collaborative Filtering
58,0,Sleep disturbance. Dental abnormalities. Fatigue. Joint pain. Vertigo,Osteoarthritis. Inguinal hernia. Frequent joint dislocation. Inflamed gums,Constipation. Muscle pain. Picture: Subcutaneous nodule (skin lesion). Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
58,1,Picture: thick lower lip. Joint pain. Fatigue. Picture: Conjunctival telangiectasia. Arthritis. Corneal opacity,Lack of sweating. Blood in urine. Arrhythmia. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Abdominal pain,Emphysema. Abnormal aortic valve morphology. High urine protein levels. Abnormality of femur morphology. Renal insufficiency,Fabry disease,1. Collaborative Filtering
58,2,Abnormal bone structure. Feeding difficulties in infancy. Recurrent fractures. Difficulty swallowing. Osteoarthritis. Joint pain,Fever. Blood in urine. Abdominal pain. Susceptable to bleeding. Joint dislocation. Low platelet count,Abnormal heart valve morphology. Enlarged liver. Elevated C-reactive protein level. Calcium deposits in the aortic valve. Generalized myoclonic seizures. Englarged spleen,Gaucher disease,3. Google Custom
59,0,Gum abnormalities. Sleep disturbance. Dental abnormalities. Thin skin. Stretchy skin. Malabsorption,Frequent joint dislocation. Vertigo. Soft skin. Breathing stops (episodes). Joint hyperflexibility. Muscle pain,Osteoarthritis. Tendon rupture. Persistent blue hands/feet. Fatigue. Arrhythmia. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
59,1,Picture: thick lower lip. Picture: Conjunctival telangiectasia. Mini-stroke. Spider veins. Corneal opacity. Nausea and vomiting. Chest pain,Arthritis. Arrhythmia. Joint pain. Behavioral abnormality. Lack of sweating. Blurred vision,Congestive heart failure. Achalasia. Abnormal renal tubule morphology. Mitral regurgitation. Sensorineural hearing impairment. Malabsorption,Fabry disease,1. Collaborative Filtering
59,2,Abnormal bone structure. Feeding difficulties in infancy. Short stature. Paralysis or weakness of one side of the body. Anemia. Difficulty swallowing,Joint dislocation. Developmental regression. Susceptable to bleeding. Fatigue. Ataxia. Osteolysis: Breakdown of bone,Hepatitis. Enlarged liver. Englarged spleen. Calcium deposits in the mitral valve. Abnormality of the skeletal system,Gaucher disease,3. Google Custom
60,0,Gum enlargement. Sleep disturbance. Nausea and vomiting. Menstrual abnormalities (frequency heaviness irregularity),Frequent joint dislocation. Migraine. Acid reflux. Muscle pain,Joint hyperflexibility. Depressivity. Fatigue. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
60,1,Delayed puberty. Breathing difficulties. Anorexia. Blood in urine. Nausea and vomiting. Joint pain,Blurred vision. Picture: Subcutaneous nodule (skin lesion). Lack of sweating. Congestive heart failure. Hearing impairment. Renal insufficiency,Malabsorption. Cataract. Optic atrophy. Mitral regurgitation. Diabetes insipidus,Fabry disease,1. Collaborative Filtering
60,2,Misalignment of the eyes. Delayed skeletal maturation. Abdominal pain. Changes in coordination and speed of movements. Susceptable to bleeding,Recurrent fractures. Fatigue. Difficulty with horizontal voluntary eye movements. Ataxia. Calcium deposits in the aortic valve,Scarring of liver caused by chronic liver disease. Bone death due to lack of blood supply. Abnormal heart valve morphology. Englarged spleen,Gaucher disease,3. Google Custom
61,0,Abnormal palate (roof of the mouth). Gum enlargement. Flat feet. Vertigo. Thin skin. Stretchy skin. Osteoarthritis,Joint hyperflexibility. Migraine. Malabsorption. Soft skin. Arrhythmia. Tendon rupture. Depressivity,Fatigue. Unusual scars. Inflamed gums. Joint pain. Poorly functioning veins. Keratoconus,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
61,1,Delayed puberty. Anorexia. Breathing difficulties. Vision loss. Muscle pain. Fatigue,Picture: Angiokeratoma (small raised dark-red spot). Abdominal pain. Picture: Subcutaneous nodule (skin lesion). Congestive heart failure. Lack of sweating,Malabsorption. Nephrotic syndrome. Reduced bone mineral density. Atrioventricular block. Cataract,Fabry disease,3. Google Custom
61,2,Abnormal bone structure. Developmental regression. Joint dislocation. Corneal opacity. Dry scales on the skin,Difficulty swallowing. Tremor. Anemia. High urine protein levels,Hepatitis. Enlarged ventricular system of the brain. Cranial nerve paralysis. Low platelet count,Gaucher disease,1. Collaborative Filtering
62,0,Drooping upper eyelid. Foot deformity. Flat feet. Depressivity. Fatigue,Osteoarthritis. Constipation. Vertigo. Migraine. Stretchy skin,Joint pain. Muscle pain. Frequent joint dislocation. Joint hyperflexibility. Keratoconus,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
62,1,Nausea and vomiting. Arthritis. Extreme thirst. Corneal opacity,Anxiety. Persistent swelling in arm/leg. Picture: Subcutaneous nodule (skin lesion). Abdominal pain,Corneal dystrophy. Nephrotic syndrome. Emphysema. Renal insufficiency,Fabry disease,2. Malady Help
62,2,Misalignment of the eyes. Hydrops fetalis: prenatal swelling. Anemia. Developmental regression. Difficulty swallowing,Fever. Joint pain. Changes in coordination and speed of movements. Enlarged ventricular system of the brain,Increased antibody level in blood. Cherry red spot of the macula. Calcium deposits in the mitral valve. Englarged spleen,Gaucher disease,1. Collaborative Filtering
63,0,Prominent eye folds. Flat feet. Foot deformity. Nausea and vomiting. Constipation. Muscle pain,Depressivity. Stretchy skin. Genital hernia. Malabsorption. Fatigue. Picture: Subcutaneous nodule (skin lesion),Abnormal anus or rectum. Vertigo. Frequent joint dislocation. Scoliosis. Poorly functioning veins. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
63,1,Picture: thick lower lip. Vision loss. Lack of sweating. Fever. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system,Cognitive impairment. Hearing impairment. Anemia. Picture: Angiokeratoma (small raised dark-red spot),Mitral regurgitation. Nephrotic syndrome. Achalasia. Abnormal aortic valve morphology,Fabry disease,2. Malady Help
63,2,Delayed puberty. Misalignment of the eyes. Dry scales on the skin. Bone pain. Fatigue. Decreased muscle tone,Fever. Difficulty swallowing. Anemia. Joint pain. Englarged spleen. Abnormality of the skeletal system,Osteopenia: Decreased bone density. Replacement of normal lung tissues by fibroblasts and collagen. Calcium deposits in the aortic valve. Ataxia. Enlarged liver,Gaucher disease,3. Google Custom
64,0,Drooping upper eyelid. Foot deformity. Sleep disturbance. Small teeth. Osteoarthritis. Frequent joint dislocation. Joint hyperflexibility. Abnormal anus or rectum,Umbilical hernia. Muscle pain. Vertigo. Arrhythmia. Thin skin. Depressivity. Joint pain,Constipation. Decreased fertility. Limitation of joint mobility. Scoliosis. Fatigue. Decreased nerve conduction velocity. Widening of main artery,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
64,1,Breathing difficulties. Nausea and vomiting. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Extreme thirst. Blood in urine,Corneal opacity. Anemia. Cognitive impairment. Muscle pain. Elevated or lowered cholesteral,Optic atrophy. Corneal dystrophy. Emphysema. Nephrotic syndrome,Fabry disease,2. Malady Help
64,2,Abnormal bone structure. Feeding difficulties in infancy. Abdominal pain. Decreased muscle tone. Difficulty with horizontal voluntary eye movements,Difficulty swallowing. Fever. Double vision. Joint pain. Abnormality of the skeletal system,Osteopenia: Decreased bone density. Bone death due to lack of blood supply. Englarged spleen. Osteolysis: Breakdown of bone,Gaucher disease,1. Collaborative Filtering
65,0,Sleep disturbance. Abnormal palate (roof of the mouth). Joint pain. Fatigue. Depressivity,Genital hernia. Joint hyperflexibility. Inflamed gums. Thin skin. Stretchy skin,Arrhythmia. Limitation of joint mobility. Malabsorption. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
65,1,Lack of sweating. Fatigue. Breathing difficulties. Abdominal pain. Arthritis. Cognitive impairment,Hearing impairment. Mini-stroke. Fever. Thickened skin. Nephrotic syndrome,Abnormal renal tubule morphology. Kidney damage/Kidney disease. Renal insufficiency. Abnormal aortic valve morphology. Optic atrophy,Fabry disease,1. Collaborative Filtering
65,2,Hydrops fetalis: prenatal swelling. Delayed skeletal maturation. Difficulty swallowing. Changes in coordination and speed of movements. Fatigue. Depressivity,Developmental regression. Abdominal pain. Bone death due to lack of blood supply. Low platelet count. Generalized myoclonic seizures,Abnormal heart valve morphology. Abnormal myocardium morphology. Osteopenia: Decreased bone density. Englarged spleen. Increased antibody level in blood,Gaucher disease,3. Google Custom
66,0,Gum enlargement. Sleep disturbance. Picture: Subcutaneous nodule (skin lesion). Thin skin. Migraine. Persistent blue hands/feet,Depressivity. Joint pain. Inguinal hernia. Stretchy skin. Frequent joint dislocation. Joint hyperflexibility,Fatigue. Muscle pain. Limitation of joint mobility. Poorly functioning veins. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
66,1,Mini-stroke. Behavioral abnormality. Abdominal pain. Corneal opacity. Fatigue. Fever,Breathing difficulties. Persistent swelling in arm/leg. Arthritis. Spider veins. Bundle branch block,Malabsorption. Atrioventricular block. Emphysema. Achalasia. Abnormal myocardium morphology,Fabry disease,1. Collaborative Filtering
66,2,Short stature. Delayed puberty. Difficulty swallowing. Anemia. Fever,Recurrent fractures. Bone pain. Developmental regression. Enlarged liver,Englarged spleen. Retinopathy. Scarring of liver caused by chronic liver disease. Hepatitis,Gaucher disease,2. Malady Help
67,0,Sleep disturbance. Flat feet. Gum enlargement. Constipation. Nausea and vomiting. Vertigo,Migraine. Picture: Subcutaneous nodule (skin lesion). Thin skin. Frequent joint dislocation. Fatigue. Acid reflux,Persistent blue hands/feet. Stretchy skin. Inflamed gums. Joint hyperflexibility. Poorly functioning veins. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
67,1,Fatigue. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Picture: Subcutaneous nodule (skin lesion). Cognitive impairment. Spider veins,Congestive heart failure. Hearing impairment. Muscle pain. Picture: Conjunctival telangiectasia. Joint pain,Nephrotic syndrome. High urine protein levels. Emphysema. Kidney damage/Kidney disease,Fabry disease,1. Collaborative Filtering
67,2,Delayed skeletal maturation. Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Bone pain. Joint pain. Joint dislocation,Difficulty swallowing. Depressivity. Changes in coordination and speed of movements. Limited eye movements. Increased antibody level in blood,Cherry red spot of the macula. Hydrocephalus (too much cerebrospinal fluid in the brain). Enlarged ventricular system of the brain. Ataxia. Scarring of liver caused by chronic liver disease,Gaucher disease,3. Google Custom
68,0,Foot deformity. Inflamed gums. Thin skin. Joint pain,Depressivity. Muscle pain. Osteoarthritis,Persistent blue hands/feet. Fatigue. Keratoconus,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
68,1,Delayed puberty. Blood in urine. Mini-stroke. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Fatigue. Anemia,Picture: Subcutaneous nodule (skin lesion). Behavioral abnormality. Anxiety. Breathing difficulties. Lack of sweating. Cataract,Mitral regurgitation. Left ventricular hypertrophy. Emphysema. Malabsorption. Renal insufficiency,Fabry disease,3. Google Custom
68,2,Feeding difficulties in infancy. Fever. Fatigue. Changes in coordination and speed of movements. Anemia,Bone pain. Involuntary movements. Difficulty swallowing. Enlarged liver,Abnormal myocardium morphology. Cherry red spot of the macula. Low platelet count. Englarged spleen,Gaucher disease,2. Malady Help
69,0,Gum abnormalities. Flat feet. Osteoarthritis. Migraine,Bladder hernia. Frequent joint dislocation. Breathing stops (episodes). Fatigue,Limitation of joint mobility. Depressivity. Absent/small abdominal wall muscles,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
69,1,Short stature. Blood in urine. Congestive heart failure. Abdominal pain. Thickened skin. Picture: Conjunctival telangiectasia,Hearing impairment. Seizure. Spider veins. Muscle pain. Joint pain. Bundle branch block,Mitral regurgitation. Corneal dystrophy. Renal insufficiency. Sensorineural hearing impairment. Nephrotic syndrome,Fabry disease,3. Google Custom
69,2,Misalignment of the eyes. Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Breathing difficulties. Fatigue. Corneal opacity. Joint pain,Changes in coordination and speed of movements. Paralysis or weakness of one side of the body. Depressivity. Joint stiffness. Elevated C-reactive protein level. High urine protein levels,Osteopenia: Decreased bone density. Pulmonary arterial hypertension: High blood pressure in lungs. Ataxia. Abnormal myocardium morphology. Enlarged liver. Bone death due to lack of blood supply,Gaucher disease,1. Collaborative Filtering
70,0,Flat feet. Sleep disturbance. Arrhythmia. Unusual scars. Tingling/pins and needles,Umbilical hernia. Muscle pain. Joint pain. Persistent blue hands/feet. Stretchy skin,Genital hernia. Constipation. Soft skin. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
70,1,Delayed puberty. Muscle pain. Joint pain. Congestive heart failure. Anemia. Nausea and vomiting,Corneal opacity. Fatigue. Fever. Anorexia. Blood in urine,Renal insufficiency. Cataract. Kidney damage/Kidney disease. Atrioventricular block. Sensorineural hearing impairment,Fabry disease,1. Collaborative Filtering
70,2,Delayed skeletal maturation. Misalignment of the eyes. Abdominal pain. Fever. Changes in coordination and speed of movements. Joint pain,Joint stiffness. Anemia. Fatigue. Bone pain. Pulmonary arterial hypertension: High blood pressure in lungs,Ataxia. Enlarged liver. Calcium deposits in the aortic valve. Bilateral tonic-clonic seizure. Calcium deposits in the mitral valve,Gaucher disease,2. Malady Help
71,0,Abnormal palate (roof of the mouth). Abnormality of the wrist. Foot deformity. Persistent blue hands/feet. Migraine. Muscle pain,Thin skin. Osteoarthritis. Joint pain. Stretchy skin. Frequent joint dislocation. Menstrual abnormalities (frequency heaviness irregularity),Soft skin. Abnormal anus or rectum. Constipation. Breathing stops (episodes). Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
71,1,Picture: thick lower lip. Mini-stroke. Behavioral abnormality. Seizure. Congestive heart failure. Joint pain. Arthritis,Muscle pain. Cognitive impairment. Lack of sweating. Developmental regression. Blood in urine. Corneal opacity,Hearing impairment. Malabsorption. Renal insufficiency. Corneal dystrophy. Nephrotic syndrome. Cataract,Fabry disease,1. Collaborative Filtering
71,2,Delayed puberty. Abnormal bone structure. Joint dislocation. Difficulty with horizontal voluntary eye movements. Difficulty swallowing,Breathing difficulties. Involuntary movements. Dry scales on the skin. High urine protein levels. Englarged spleen,Osteopenia: Decreased bone density. Bilateral tonic-clonic seizure. Bone death due to lack of blood supply. Abnormal heart valve morphology,Gaucher disease,3. Google Custom
72,0,Dental abnormalities. Foot deformity. Persistent blue hands/feet. Picture: Subcutaneous nodule (skin lesion),Soft skin. Frequent joint dislocation. Acid reflux. Menstrual abnormalities (frequency heaviness irregularity),Vertigo. Joint hyperflexibility. Widening of main artery,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
72,1,Seizure. Fever. Cognitive impairment. Picture: Angiokeratoma (small raised dark-red spot),Anemia. Congestive heart failure. Muscle pain. Abnormal aortic valve morphology,Corneal dystrophy. Abnormality of the endocardium. Elevated or lowered cholesteral,Fabry disease,1. Collaborative Filtering
72,2,Feeding difficulties in infancy. Misalignment of the eyes. Fatigue. Bone pain. Anemia. Difficulty swallowing,Fever. Abdominal pain. Changes in coordination and speed of movements. Bilateral tonic-clonic seizure. Generalized myoclonic seizures,Bone death due to lack of blood supply. Low platelet count. Abnormality of the skeletal system. Enlarged liver. Replacement of normal lung tissues by fibroblasts and collagen,Gaucher disease,3. Google Custom
73,0,Sleep disturbance. Foot deformity. Scoliosis. Malabsorption. Persistent blue hands/feet,Breathing stops (episodes). Nausea and vomiting. Arrhythmia. Joint hyperflexibility. Thin skin,Vertigo. Tendon rupture. Absent/small abdominal wall muscles. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
73,1,Picture: coarse facial features. Abdominal pain. Nausea and vomiting. Spider veins. Anemia. Picture: Conjunctival telangiectasia,Hearing impairment. Joint pain. Developmental regression. Picture: Subcutaneous nodule (skin lesion). Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system,Abnormal aortic valve morphology. Elevated or lowered cholesteral. Left ventricular hypertrophy. Malabsorption. Achalasia,Fabry disease,2. Malady Help
73,2,Delayed skeletal maturation. Feeding difficulties in infancy. Limited eye movements. Changes in coordination and speed of movements. Abnormal skin pigmentation. Abdominal pain,Hearing impairment. Blood in urine. Developmental regression. Difficulty with horizontal voluntary eye movements. Replacement of normal lung tissues by fibroblasts and collagen. Ataxia,Calcium deposits in the mitral valve. Scarring of liver caused by chronic liver disease. Abnormality of the skeletal system. Enlarged liver. Generalized myoclonic seizures,Gaucher disease,3. Google Custom
74,0,Flat feet. Sleep disturbance. Arrhythmia. Tendon rupture. Nausea and vomiting. Persistent blue hands/feet,Thin skin. Depressivity. Breathing stops (episodes). Limitation of joint mobility. Joint hyperflexibility. Frequent joint dislocation,Malabsorption. Umbilical hernia. Tingling/pins and needles. Stretchy skin. Decreased nerve conduction velocity. Absent/small abdominal wall muscles,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
74,1,Behavioral abnormality. Joint pain. Congestive heart failure. Anemia. Fatigue. Muscle pain. Depressivity,Cognitive impairment. Mini-stroke. Progressive airflow obstruction. Picture: Conjunctival telangiectasia. Picture: Subcutaneous nodule (skin lesion). Lack of sweating,Nephrotic syndrome. Corneal dystrophy. Optic atrophy. Kidney damage/Kidney disease. Bundle branch block. Sensorineural hearing impairment,Fabry disease,1. Collaborative Filtering
74,2,Delayed puberty. Misalignment of the eyes. Depressivity. Fatigue. Double vision,Blood in urine. Anemia. Joint dislocation. Calcium deposits in the aortic valve. Abnormal pericardium morphology,Interstitial pulmonary abnormality. Enlarged liver. Low platelet count. Low blood cell count. Abnormal heart valve morphology,Gaucher disease,3. Google Custom
